Ligando,Afinidad
z-2-hexenol,-3.716
Benzothiazol,-4.126
eugenol-M.musculus-,-5.281
Menthone,-5.27
hexylacetate,-4.619
Α-terpineol,-5.689
DEET,-4.996
2-decanone,-4.403
Isobutylacetate,-3.767
2-pentanone,-3.728
1-octen-3-ol,-4.581
2-dodecanone,-4.425
Trans-anethol,-5.474
3-octanol,-4.813
Butanal,-3.329
3-nonanone,-4.86
methylbutyrate,-3.859
piperonylacetone,-5.533
2-sec-butyl-3-methoxypyrazine,-4.942
Pyrazine,-3.124
geranylacetate,-5.565
2-methylpyrazine,-3.676
butyricacid,-3.678
4-octanol,-4.809
2-heptanone,-4.422
ethylhexanoate,-4.436
methylnonanoate,-5.007
Menthol,-5.755
methyldecanoate,-4.463
isoamylacetate,-4.257
Pentanal,-3.615
methyloctanoate,-4.078
methylheptanoate,-4.019
E-2-hexenylacetate,-5.028
hexanoicacid,-4.352
2-octanol,-4.498
Thymol,-5.094
1-pentanol,-3.867
Limonene,-5.744
Eucalypton,-5.219
dimethyldisulﬁde,-1.996
Acetaldehyde,-2.389
Helional-phenobarbital-,-7.168
decanoicacid,-4.538
butylacetate,-3.606
3-methylbutanol,-3.779
2-nonanone,-4.32
Ethyl-vanillin,-5.393
1-hexanol,-4.24
1-heptanol,-5.1
Cinnamaldehyde,-5.454
Heptanal,-4.146
Vanillin,-4.38
1-dodecanol,-5.036
butylanthralite,-6.201
ethyloctanoate,-4.762
Nonanal,-4.401
heptanoicacid,-4.617
Citral,-5.339
3-hydroxybutan-2-one,-3.502
2-pentanol,-3.615
Cineol,-5.088
Acetophenone,-5.682
Allyl-ionoe,-5.023
isovalericacid,-4.08
ethylisobutyrate,-3.876
Cyclohexanone,-4.071
2-ethyl1-hexanol,-4.771
methylp-tert-butylphenylacetate,-6.149
1-nonanol,-4.614
Dodecanal,-4.892
ethylanthralite,-4.448
Trans-cinnamicacid,-6.136
Diacetyl-C.elegans-,-3.4
dodecanoicacid,-5.401
ethylnonanoate,-4.935
ethylpropionate,-3.862
-Citronellal,-5.175
Hedione,-4.343
octanoicacid,-4.865
ethyl-trans-2-butenoate,-3.662
Picaridin,-5.264
Thiazole,-2.687
Hexanal,-3.971
1-octanol,-4.048
pentylacetate,-4.301
Gvaiacol,-4.953
2-nonanlol,-4.348
Citralva,-4.162
propylacetate,-3.168
6-methyl-5-hepten-2-one,-4.682
+Citronellal,-5.06
2-isobutyl-3-methoxypyrazine,-4.797
Linalool,-4.182
Cumarin,-6.955
2-isobutyl3-methoxypyrazine,-5.111
nonanoicacid,-4.12
ethyldecanoate,-4.027
Alpha-thujone,-5.773
isobutyricacid,-3.639
Anisol,-4.938
ethylchrysanthemate,-4.614
butylbutyrate,-4.64
"methylN,N,-dimethylanthranilite",-4.157
diethylsuccinate,-4.264
Quinolin,-6.176
Octanal,-4.414
Phenylmethanol,-5.393
Geraniol,-4.574
3-octanone,-4.532
ethylheptanoate,-4.48
ethylbutyrate,-3.476
methylsalicylate,-5.373
Decanal,-4.912
Lyral,-5.364
propionicacid,-3.453
3-methyl-2-buten-1-ol,-3.915
Gamma-decalactone,-4.627
1-decanol,-4.892
Para-anisaldehyde,-4.725
Camphor,-5.801
Indole,-5.971
ethyl-3-hydroxybutyrate,-4.37
2-octanone,-4.432
Beta-thujone,-4.181
Γ-hexalactone,-4.58
Benzaldehyde,-5.206
Maltol,-3.954
Undecanal,-5.119
1-butanol,-3.361
Pyridine,-4.053
methylhexanoate,-4.372
Safrol,-5.806
Beta-ionone,-5.121
Estragol,-5.444
